tweet,label
"silencing blm : priti patel\xe2\x80\x99s anti-protest law - iandunt on how a government keen to 'tackle cancel culture' when\xe2\x80\xa6 https://t.co/o7tvlobkro""",BLM
"trillian42_ johnbok5 nadiawhittomemp ""\'silly little woke lefty\'. mostly harmless. rebel scum. gamer. intersectio\xe2\x80\xa6 https://t.co/jdhjyk75bm'",BLM
"rt errolwebber: tell me, would this be considered ""racist?\xe2\x80\x9d\n\ndo people who support blm think this is ok? https://t.co/duwabljghp'",BLM
"apple won't let parler have an app but still keeps twitter who allows all manner of provoking violence with vario\xe2\x80\xa6 https://t.co/zfnx8klfhf""",BLM
malika_andrews wojespn can we get jlm trending. maybe the nba can put that on the b-ball court and have all jers\xe2\x80\xa6 https://t.co/oe2pqk42fq',BLM
"alexberesfordtv you weren\xe2\x80\x99t out of order, please don\xe2\x80\x99t silence your voice for these hateful bigots. where is the o\xe2\x80\xa6 https://t.co/gdsjtt3av7'",BLM
"mom, i have a problem you can help me. mam. bbc bbcslut nude sext cum cumshot creampie blm horny gangbang\xe2\x80\xa6 https://t.co/x1oykuinxk'",BLM
rt tsp_youtube: an amazing chat with cincinnati health report anne saker spsaker \n\nannesaker chat covid vaccine amidtheflowers repo\xe2\x80\xa6',BLM
chrisshipitv recollection?? the headlines were clearly racist. the racist citizens were vocal and given a voice. t\xe2\x80\xa6 https://t.co/rjjxb2eakw',BLM
nagivatorjan widehope nick_pye ... until blm entered uk - biggest racists going',BLM
rt joedaddyhala: thank you rep.(d) stacey plaskett for standing up for blm .  the \xe2\x80\x9cgqp\xe2\x80\x9d will never understand or care to learn about blac\xe2\x80\xa6',BLM
tiny pandemic poems:\n2021 90\n\nhow have you reacted \nto bumping into yourself \neverywhere you turn\nduring this time\xe2\x80\xa6 https://t.co/rt6jpexujn',BLM
rt ptnewsnetwork: the third day of the george floyd murder trial started off with several motions before they began questioning potential\xe2\x80\xa6',BLM
rt nicolaademarco: islablonde the false report of massacre axum tigray ethiopia is attack on sovereignty of both ethiopia and eritre\xe2\x80\xa6',BLM
white feminists. this is your time to use your white privilege &amp; call out violence against women &amp; institutional po\xe2\x80\xa6 https://t.co/qtxwpkeu7f',BLM
"theorphanmoon68 katie23626427 well said, andrew!\n\nany charity that gives 100s of 1000s of \xc2\xa3\xc2\xa3\xc2\xa3s to blm, a known c\xe2\x80\xa6 https://t.co/ref94ugw8",BLM
"\xe2\x80\x9cblack lives matter doesn\xe2\x80\x99t like the old fashioned family.\xe2\x80\x9d\n\n\xf0\x9f\x98\x86 \n\ni shouldn\xe2\x80\x99t ask considering, but how on earth did\xe2\x80\xa6 https://t.co/qljc8pbg6",BLM
blm is racist https://t.co/l5mmjquyi7',BLM
i\xe2\x80\x99m starting to blm a little more\xf0\x9f\x98\xbb https://t.co/on07xus5ei',BLM
"rt nicolaademarco: noroom4fakenews such a beautiful and inspiring thing to see!!! stay positive! don't be discouraged!! even when the med\xe2\x80\xa6""",BLM
inzyrashid skynews and they are not anti-racist. there in lies the crux. blm harryandmeghan speakup mentalhealthmatters  colonialism',BLM
"rt netpol: the government are so angry about the toppling of the colston statue by blm protesters that they've upped the penalty for dam\xe2\x80\xa6""",BLM
"ye don't have to tweet about it lads, but ye do need to think about the things you do or say. \n\nyour intent when yo\xe2\x80\xa6 https://t.co/uztqc39qbz""",BLM
"rt mkultralegend: black binbags are a racist symbol of whitenormativity, whitesupremacy &amp; whiteprivilege.\n\nwhy? the structures of soci\xe2\x80\xa6'",BLM
rt bethorgan: to those who are rightly condemning the notallmen hashtag but who had no issue with alllivesmatter last summer: i ask you\xe2\x80\xa6',BLM
wolflov18427553 superboyisill darlingdarla iamcormega charleshamilton bapeofficial lilpeep brothermob\xe2\x80\xa6 https://t.co/olbcasemuz',BLM
"rt coolhand6661: ""it\'s the implication!"" lmfao!\n2020 has shown quite clearly 90% of racism in uk is anti-white racism. largely encouraged\xe2\x80\xa6'",BLM
grandpasnarky jomare61861194 themessage8 mamar9635 mommanne12 americancrawl mapolino jsr221016\xe2\x80\xa6 https://t.co/limk5sr51q',BLM
lol ! you are losing &amp; have no facts ! typical liars &amp; brainwashed libs ! violent blm take your bs outta here.\xe2\x80\xa6 https://t.co/tvzmahdoir',BLM
rt cornishview: good morning &amp; welcome to racist britain. it seems that all us whiteys are racists according to an unending stream of blm\xe2\x80\xa6',BLM
rt voices4ethiopia: glean gleanethiopian has launched a letter writing campaign to implore the us to change its position and support et\xe2\x80\xa6',BLM
"sharon osborne ""ain\'t racist"" y\'all. she chooses racist friends and supports a monarchy with a history of coloniali\xe2\x80\xa6 https://t.co/d3nmcn2s5h'",BLM
rt blackworktalk: new episode of black work talk. jessedhagopian is guest.  great convo on transforming schools in the age of covid and \xe2\x80\xa6',BLM
sumi23189588 kensingtonroyal again brown lives do matter and because of blm pushing change that is making this w\xe2\x80\xa6 https://t.co/hie2ob3siu',BLM
